state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible,btcusdt_2025_n,btcusdt_2025_effect,btcusdt_2025_q1_n,btcusdt_2025_q1_effect,btcusdt_2025_q2_n,btcusdt_2025_q2_effect,btcusdt_2025_q3_n,btcusdt_2025_q3_effect,btcusdt_2025_q4_n,btcusdt_2025_q4_effect,ethusdt_2025_n,ethusdt_2025_effect,ethusdt_2025_q1_n,ethusdt_2025_q1_effect,ethusdt_2025_q2_n,ethusdt_2025_q2_effect,ethusdt_2025_q3_n,ethusdt_2025_q3_effect,ethusdt_2025_q4_n,ethusdt_2025_q4_effect,confirm_same_sign_both,confirm_worst_abs_effect,confirm_retains_effect,quarter_eligible,quarter_match,quarter_match_rate,quarter_stable,worst_symbol_p,worst_symbol_bh_q,phase_fb_screen_pass,btcusdt_block_p,ethusdt_block_p
taker_imbalance_diff=Q4,up_first_1atr_1h,taker_imbalance_diff,4,20512,0.00705009263488604,10152,0.009422610729814596,10360,0.004716184185869388,20507,0.004069794285054662,10678,0.006981845389775809,9829,0.000925407716314941,1,0.004069794285054662,True,18322,0.0034681298596168086,4813,-0.006763148243292327,4585,0.009487369646178356,4194,-4.2506671554976005e-05,4730,0.01118361988432004,20361,0.0062288119758444616,5241,0.019709805738225894,5119,0.006755601225032493,5124,-0.005549699245260442,4877,0.003834735711471582,True,0.0034681298596168086,True,8,5,0.625,False,0.22459180273242252,1.0,False,0.22459180273242252,0.08997000999666778
perp_taker_imbalance_change_15m=Q1,up_first_1atr_1h,perp_taker_imbalance_change_15m,1,20534,0.004805152467161455,9856,0.0024889600129192058,10678,0.006866059692178683,20532,0.003802602564962232,9388,0.00141927724178198,11144,0.005781444874914388,1,0.003802602564962232,True,21579,0.0003802586313688683,5112,-0.004242466287439184,5458,0.00047128049028455354,6037,-0.002220855431534441,4972,0.00791976087853874,19851,0.00024885537608798636,5092,-0.010416953290419084,5024,-0.002663496541126631,5162,0.009770249784776808,4573,0.004497575576077051,True,0.00024885537608798636,False,8,4,0.5,False,0.46717760746417863,1.0,False,0.46717760746417863,0.46484505164945017
perp_spot_basis_bps_change_15m=Q2,up_first_1atr_1h,perp_spot_basis_bps_change_15m,2,20506,-0.0058716561915675425,9756,-0.00859467050682755,10750,-0.00349590165412339,20522,-0.00355575820681564,9795,-0.00563663874189102,10727,-0.0016706583612386972,-1,0.00355575820681564,True,23672,0.0005320034536860918,5560,-0.0026338939903473024,5776,-0.011716793332582354,6098,0.004815751068460994,6238,0.010758550050450344,22195,0.0009915159286758013,5378,0.0013932583395756537,5491,0.00026961084826682136,5676,0.004348999082717353,5650,-0.002285485445811697,False,,False,8,3,0.375,False,1.0,1.0,False,,
taker_imbalance_diff_change_15m=Q3,up_first_1atr_1h,taker_imbalance_diff_change_15m,3,20486,-0.003488062831584482,10880,-0.0021663111864696494,9606,-0.004811765285865188,20466,-0.006363265040119859,10799,-0.004200729786753121,9667,-0.008753771290738566,-1,0.003488062831584482,True,16387,-0.0036858746015886457,4435,-0.006826346116583171,4025,0.008123754834173269,3665,-0.010382620951618515,4262,-0.005621957304525194,19734,-0.0033831437287051846,5045,-0.0014121364689917981,5148,0.0032863436045734717,4924,-0.010104807301453855,4617,-0.005906079594791724,True,0.0033831437287051846,True,8,6,0.75,True,0.22459180273242252,1.0,False,0.21526157947350882,0.22459180273242252
taker_imbalance_diff=Q5,up_first_1atr_1h,taker_imbalance_diff,5,20580,0.0046544815043184085,8884,0.0024572106108129987,11696,0.006051293968311611,20533,0.002609441700784698,9377,0.003174903276329022,11156,0.0021048446427954226,1,0.002609441700784698,True,28363,0.004064810172243083,6424,0.002381023092175971,7376,0.004886429818342086,7647,0.0033762276708606542,6916,0.005097478363661978,23760,0.006827519199348986,6087,0.004888932780768407,5285,0.011853199853548824,5645,0.0023543684498598116,6743,0.009886744293583771,True,0.004064810172243083,True,8,8,1.0,True,0.15594801732755748,1.0,False,0.15594801732755748,0.08297234255248251
log_trade_count_ratio_change_1h=Q2,up_first_1atr_1h,log_trade_count_ratio_change_1h,2,20515,-0.002431423781510289,10023,-0.0017293107727153756,10492,-0.0031405833163422603,20487,-0.0035453380272628676,10408,-0.002666351229909214,10079,-0.004444420109725622,-1,0.002431423781510289,True,21502,0.0001622633328413059,5413,0.009455972265548784,5258,-0.004876866520095557,5207,-0.004058413141322215,5624,6.410490923586254e-05,22506,-0.0031970915217426343,5731,-0.006044775296753624,5749,0.012353965648365217,5665,-0.014259073058883798,5361,-0.0051280735906070185,False,,False,8,5,0.625,False,1.0,1.0,False,,0.24125291569476842
perp_spot_basis_bps_change_1h=Q5,up_first_1atr_1h,perp_spot_basis_bps_change_1h,5,20508,-0.0030426640595830334,10893,-0.005142748766458927,9615,-0.0004897460590623792,20460,-0.0022120413382961113,10964,-0.0026511382808713235,9496,-0.001672405796180887,-1,0.0022120413382961113,True,14672,-0.011090855369717545,4209,-0.010288782196674617,3854,0.01371807162047578,3333,-0.030765750669774494,3276,-0.02197340397037828,16904,0.005698485527721897,4437,0.0018838252976908776,4013,0.007682506734850714,4284,-0.004336645717838539,4170,0.019079935491774502,False,,False,8,4,0.5,False,1.0,1.0,False,0.026324558480506497,
log_quote_volume_ratio_change_1h=Q2,up_first_1atr_1h,log_quote_volume_ratio_change_1h,2,20475,-0.002050559486436898,10408,-0.0030137221147149007,10067,-0.0009993633445186667,20475,-0.002036088259117219,10365,-0.001298502905139165,10110,-0.002785144607754031,-1,0.002036088259117219,True,18851,-0.001934579212905685,4826,-0.004764141719225956,4703,-0.0019059473646346747,4454,0.002242601804449129,4868,-0.0029289954436361176,20795,0.002624563538711211,5274,-0.00015034131705432552,5436,0.013850466751478052,5157,-0.00485727281684567,4928,0.0008913045783234264,False,,False,8,5,0.625,False,1.0,1.0,False,0.3408863712095968,
log_quote_volume_ratio_change_1h=Q1,up_first_1atr_1h,log_quote_volume_ratio_change_1h,1,20554,0.0019325325515349712,9835,0.0009101395895703135,10719,0.002787069032572864,20529,0.003680702622075205,9913,0.003566913530927418,10616,0.003776047016854578,1,0.0019325325515349712,True,23151,-0.0015278856540859587,5369,-0.000561646033451102,5861,-0.010665398862067077,6351,0.00047265895295439675,5570,0.004673358403493644,19630,-0.004887589949534921,4845,-0.011475129899633063,4568,-0.001927624175068643,5100,-0.005559801646876805,5117,-0.0002740399950238448,False,,False,8,2,0.25,False,1.0,1.0,False,,
log_trade_count_ratio_change_15m=Q1,up_first_1atr_1h,log_trade_count_ratio_change_15m,1,20534,0.0017370702620382872,10631,0.0020677597464844877,9903,0.0014848206545967635,20509,0.0046061988668599785,9773,0.00825569529067377,10736,0.0012685140295014552,1,0.0017370702620382872,True,18494,-0.0007555454652055094,4514,-0.002528705655414909,4950,-0.009178459859345789,4953,0.008626680396469633,4077,-0.0008808100301022082,16903,0.001646184963261188,3830,-0.004868496590819615,4113,-0.007229520302975412,4397,0.008537020161218711,4563,0.007786563877428876,False,,False,8,3,0.375,False,1.0,1.0,False,,0.3752082639120293
